So,Genre,Channel,Gross Cost,Markets,Market GRPs
1,HSM Gec,star plus,902730,HSM,7
2,HSM Gec,sony sab,673178,HSM,9
3,HSM Gec,colors,581176,HSM,8
4,HSM Gec,zee tv,500706,HSM,5
5,HSM Gec,sony entertainment television,841145,HSM,15
6,HSM Gec,star utsav,843796,HSM,14
7,HSM Gec,dangal,253158,HSM,4
8,HSM Gec,sony pal,1279111,HSM,23
9,HSM Gec,colors rishtey,167012,HSM,1
10,HSM Gec,Shemaroo TV,329056,HSM,10
11,HSM Gec,star bharat,141676,HSM,2
12,HSM Gec,&tv,235187,HSM,2
13,HSM Gec,dangal 2,119844,HSM,2
14,HSM Gec,sun neo,109270,HSM,7
15,HSM Gec,manoranjan grand,86471,HSM,2
16,HSM Movies,star gold,582353,HSM,8
17,HSM Movies,goldmines,717464,HSM,10
18,HSM Movies,sony max,564706,HSM,7
19,HSM Movies,star gold 2,658000,HSM,10
20,HSM Movies,Z Cinema,437719,HSM,6
21,HSM Movies,&pictures,127176,HSM,2
22,HSM Movies,colors cineplex,484706,HSM,8
23,HSM Movies,star utsav movies,328235,HSM,7
24,HSM Movies,sony wah,632486,HSM,14
25,HSM Movies,zee anmol cinema,374014,HSM,5
26,HSM Movies,colors cineplex bollywood,351737,HSM,7
27,HSM Movies,star gold romance,241094,HSM,5
28,HSM Movies,colors cineplex superhits,242235,HSM,4
29,HSM Movies,sony max 2,114353,HSM,2
30,HSM Movies,zee action,147000,HSM,3
31,HSM Movies,star gold thrills,342423,HSM,6
32,HSM Movies,manoranjan tv,170471,HSM,7
33,HSM Movies,goldmines bollywood,238824,HSM,7
34,HSM Movies,goldmines movies,213176,HSM,4
35,HSM Movies,zee classic,292431,HSM,7
36,HSM Movies,Zee Anmol Cinema 2,132489,HSM,5
37,HSM Movies,sony max,22819,HSM,1
38,HSM Movies,b4u kadak,473647,HSM,3
39,HSM Movies,b4u movies,0,HSM,3
40,Hindi Music,b4u music,0,HSM,4
41,Hindi Music,showbox,202915,HSM,5
42,Hindi Music,zoom,120000,HSM,5
43,Hindi Music,9X M,294706,HSM,8
44,Hindi Music,zing,85271,HSM,3
45,Hindi Music,Music India -,47059,HSM,1
46,Bihar,Zee Biskope,54588,Bihar,2
47,Bihar,MANORANJAN PRIME,21092,Bihar,1
48,Bihar,Filmachi Bhojpuri,35294,Bihar,1
49,Bihar,Pasand,28824,Bihar,12
50,AP Sat,star maa,337016,AP,61
51,AP Sat,Zee Telugu,261430,AP,47
52,AP Sat,Etv Telugu,137507,AP,27
53,AP Sat,gemini tv,225757,AP,64
54,AP Sat,Gemini Life,20588,AP,15
55,AP Sat,ETV Plus,24706,AP,14
56,AP Sat,star maa movies,112000,AP,19
57,AP Sat,zee cinemalu,120588,AP,31
58,AP Sat,star maa gold,112412,AP,31
59,AP Sat,ETV Cinema,57588,AP,26
60,TN Sat,sun tv,567871,TN,85
61,TN Sat,Sun TV HD,186353,TN,10
62,TN Sat,star vijay,490000,TN,69
63,TN Sat,Star Vijay HD,104824,TN,8
64,TN Sat,zee tamil,177439,TN,24
65,TN Sat,kalaignar tv,175000,TN,53
66,TN Sat,Colors Tamil SD,99647,TN,23
67,TN Sat,jaya tv,57882,TN,20
68,TN Sat,star vijay super,176431,TN,29
69,TN Sat,zee thirai,56429,TN,6
70,TN Sat,Isaiaruvi,142353,TN,31
71,TN Sat,sun music,105882,TN,24
72,TN Sat,sirippoli,56941,TN,17
73,Kar Sat,zee kannada,261778,KAR,30
74,Kar Sat,colors kannada,222668,KAR,53
75,Kar Sat,star suvarna,239952,KAR,52
76,Kar Sat,udaya tv,194388,KAR,45
77,Kar Sat,udaya movies,158334,KAR,22
78,Kar Sat,Suvarna Plus,181176,KAR,29
79,Kar Sat,colors kannada cinema,122647,KAR,32
80,Ker Sat,asianet,376945,KER,77
81,Ker Sat,flowers tv,71333,KER,15
82,Ker Sat,surya tv,177976,KER,37
83,Ker Sat,Kairali TV,60674,KER,21
84,Ker Sat,Mazhavil Manorama,53937,KER,10
85,Ker Sat,Amrita TV,35388,KER,11
86,Ker Sat,asianet movies,66165,KER,12
87,Ker Sat,WE TV,15812,KER,4
88,WB Sat,star jalsha,363331,WB,26
89,WB Sat,Sony Aath,104299,WB,8
90,WB Sat,Sun Bangla,108043,WB,23
